ScientificName,NuContAvailable,CropCategory,YieldUnit,AvYieldUnitWeight(lb),AvMoisture%,AvN%(dry),AvP%(dry),AvK%(dry),YieldUnitWeight(lb)_set,DryMatter%_M-FF,DryMatter%_NAS,DryMatter%_F&L,AvDryMatter%
Medicago sativa,"N,P,K",Forage,ton,2000,13,3.216,0.37,3.39,"2,000",,,87,87
Medicago sativa,"N,P",Forage,ton,2000,14,3.056,0.22,#DIV/0!,"2,000",,,86,86
Medicago sativa,N,Forage,cwt,100,11.7,6.014795017,#DIV/0!,#DIV/0!,100,88.3,88.3,,88.3
Medicago sativa,"N,P,K",Forage,ton,2000,75.9,3.34,0.38,2.88,"2,000",,,,24.1
Prunus dulcis,"N,P,K",Tree and fruit,lb of seed,1,4.42,3.339610797,0.544046872,0.765850596,1,,,,95.58
Prunus dulcis,N,Tree and fruit,lb of fruit,1,15,3.3,#DIV/0!,#DIV/0!,1,,,,85
Malus sp.,"N,P,K",Tree and fruit,lb of fruit ,1,81.78,0.338793093,0.051779714,0.747809583,48,,17.9,20.9,18.22
Prunus armeniaca,"N,P,K",Tree and fruit,lb of fruit ,1,86.35,1.641025641,0.139194139,2.168498169,24,,,,13.65
Cynara scolymus,"N,P,K",Vegetable,lb of fruit ,1,83,2.541176471,0.509411765,2,23,,,,17
Helianthus tuberosus,"N,P,K",Vegetable,lb of tuber,1,80.07,1.52,0.303333333,2.016666667,10,,20.5,19.3,19.93
Asparagus officinalis,"N,P",Vegetable,lb of stem ,1,92,5.55,0.69,#DIV/0!,30,,,,8
Asparagus officinalis,"N,P",Vegetable,lb of stem ,1,93,4.342857143,0.742857143,#DIV/0!,30,,,,7
Persea americana,"N,P,K",Tree and fruit,lb of fruit ,1,74.27,1.231247571,0.159347066,2.328021765,55,,,,25.73
Persea americana,"N,P,K",Tree and fruit,lb of fruit ,1,79.73,1.255056734,0.192402565,2.407498767,55,,,,20.27
Persea americana,"N,P,K",Tree and fruit,lb of fruit ,1,72.56,1.2303207,0.153061224,2.310495627,55,,,,27.44
Paspalum notatum,"N,P,K",Forage,ton,2000,69.7,1.322666667,0.173333333,2.055,"2,000",,30.3,30.6,30.3
Paspalum notatum,"N,P",Forage,ton,2000,9.83,1.52,0.2,#DIV/0!,"2,000",,89.9,90.6,90.17
Paspalum notatum,N,Forage,ton,2000,9.1,0.752,#DIV/0!,#DIV/0!,"2,000",,90.8,,90.9
Musa sp.,"N,P,K",Tree and fruit,lb of fruit ,1,74.26,0.64024864,0.077700078,1.538461539,40,,,,25.74
Hordeum vulgare,"N,P,K",Cereal and oil,bu,48,13.3,2.32,0.35,0.49,48,,,86.7,86.7
Hordeum vulgare,"N,P,K",Cereal and oil,lb straw/bu grain,72,9.2,0.688,0.08,2.11,,90,,91.6,90.8
Hordeum vulgare,"N,P,K",Cereal and oil,bu,48,11.72,2.109338703,0.419356823,0.537024609,48,89.4,89,89,88.28
Hordeum vulgare,"N,P,K",Cereal and oil,bu,48,10.77,1.614054134,0.375691509,0.58,48,89.9,88.8,,89.23
Hordeum vulgare,"N,P,K",Forage,ton,2000,79.65,2.204648649,0.37018018,1.578288288,"2,000",22.2,,18.5,20.35
Hordeum vulgare,"N,P,K",Forage,ton,2000,11.28,1.418136564,0.260825991,1.489196035,"2,000",90.8,87.7,88.4,88.73
Hordeum vulgare,"N,P,K",Cereal and oil,lb straw/bu grain,72,11.25,0.686047242,0.095555556,1.793888889,,90,84.1,91.6,88.75
Phaseolus sp.,"N,P,K",Vegetable,cwt,100,11.4,4.224,0.54,2.69,100,,,88.6,88.6
Vicia faba,"N,P,K",Vegetable,lb of fruit,1,81,4.715789474,0.5,1.315789474,1,,,,19
Phaseolus vulgaris,"N,P,K",Vegetable,cwt,100,10.75,3.985707865,0.443333333,1.066666667,100,89,88.8,90.2,89.25
